id,order_id,flag_id,f_comment,user_id,created_at,updated_at
805551,1655555,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:44,2019-04-24 06:39:44
805552,1655834,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:44,2019-04-24 06:39:44
805553,1655874,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:44,2019-04-24 06:39:44
805554,1655924,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:45,2019-04-24 06:39:45
805555,1655936,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:45,2019-04-24 06:39:45
805556,1655979,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:46,2019-04-24 06:39:46
805557,1655984,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:46,2019-04-24 06:39:46
805558,1656077,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:47,2019-04-24 06:39:47
805559,1656186,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:47,2019-04-24 06:39:47
805560,1656365,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:48,2019-04-24 06:39:48
805562,1656432,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:48,2019-04-24 06:39:48
805563,1656480,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:48,2019-04-24 06:39:48
805564,1656495,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:49,2019-04-24 06:39:49
805565,1656508,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:49,2019-04-24 06:39:49
805566,1656584,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:50,2019-04-24 06:39:50
805567,1656587,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:50,2019-04-24 06:39:50
805568,1656888,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:51,2019-04-24 06:39:51
805569,1656980,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:51,2019-04-24 06:39:51
805570,1657075,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:51,2019-04-24 06:39:51
805571,1657192,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:52,2019-04-24 06:39:52
805572,1657292,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:52,2019-04-24 06:39:52
805573,1657295,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:53,2019-04-24 06:39:53
805574,1657312,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:53,2019-04-24 06:39:53
805575,1657396,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:54,2019-04-24 06:39:54
